Year,City,Sport,Athlete,Country,Gender,Event,Medal,,
1924,Chamonix,Skating,"SZABO-PLANK, Herma",AUT,Women,Individual,Gold,,
1924,Chamonix,Skating,"BERGER, Alfred",AUT,Men,Pairs,Gold,,"Olympic Sports and Medals, 1896-2014"
1924,Chamonix,Skating,"ENGELMANN, Helene",AUT,Women,Pairs,Gold,,
1924,Chamonix,Ice Hockey,"CAMERON, Jack",CAN,Men,Ice Hockey,Gold,,
1924,Chamonix,Ice Hockey,"COLLETT, Ernest J.",CAN,Men,Ice Hockey,Gold,,
1924,Chamonix,Ice Hockey,"MAC CAFFERY, Albert",CAN,Men,Ice Hockey,Gold,,
1924,Chamonix,Ice Hockey,"MAC MUNN, Harold",CAN,Men,Ice Hockey,Gold,,
1924,Chamonix,Ice Hockey,"MUNRO, Duncan",CAN,Men,Ice Hockey,Gold,,
1924,Chamonix,Ice Hockey,"RAMSAY, W.-Beattie",CAN,Men,Ice Hockey,Gold,,
1924,Chamonix,Ice Hockey,"SLATER, Cyril",CAN,Men,Ice Hockey,Gold,,
1924,Chamonix,Ice Hockey,"SMITH, Reginald",CAN,Men,Ice Hockey,Gold,,
1924,Chamonix,Ice Hockey,"WATSON, Harry",CAN,Men,Ice Hockey,Gold,,
1924,Chamonix,Skating,"SKUTNABB, Julius",FIN,Men,10000M,Gold,,
1924,Chamonix,Skating,"THUNBERG, Clas",FIN,Men,1500M,Gold,,
1924,Chamonix,Skating,"THUNBERG, Clas",FIN,Men,5000M,Gold,,
1924,Chamonix,Skating,"THUNBERG, Clas",FIN,Men,Combined (4 Events),Gold,,
1924,Chamonix,Curling,"AIKMAN, T.",GBR,Men,Curling,Gold,,
1924,Chamonix,Curling,"ASTLEY, D.-G.",GBR,Men,Curling,Gold,,
1924,Chamonix,Curling,"BROWN, V.",GBR,Men,Curling,Gold,,
1924,Chamonix,Curling,"COUSIN, R.",GBR,Men,Curling,Gold,,
1924,Chamonix,Curling,"JACKSON, V.-K.",GBR,Men,Curling,Gold,,
1924,Chamonix,Curling,"MC LEOD, J.",GBR,Men,Curling,Gold,,
1924,Chamonix,Curling,"MURRAY, T.-B.",GBR,Men,Curling,Gold,,
1924,Chamonix,Curling,"WELSH, R.",GBR,Men,Curling,Gold,,
1924,Chamonix,Skiing,"HAUG, Thorleif",NOR,Men,18KM,Gold,,
1924,Chamonix,Skiing,"HAUG, Thorleif",NOR,Men,50KM,Gold,,
1924,Chamonix,Skiing,"HAUG, Thorleif",NOR,Men,Individual,Gold,,
1924,Chamonix,Skiing,"THAMS, Jacob Tullin",NOR,Men,K90 Individual (70M),Gold,,
1924,Chamonix,Biathlon,"AUFDENBLATTEN, Adolf",SUI,Men,Military Patrol,Gold,,
1924,Chamonix,Biathlon,"JULEN, Alphonse",SUI,Men,Military Patrol,Gold,,
1924,Chamonix,Biathlon,"JULEN, Ant.",SUI,Men,Military Patrol,Gold,,
1924,Chamonix,Biathlon,"VAUCHER, D.",SUI,Men,Military Patrol,Gold,,
1924,Chamonix,Bobsleigh,"NEVEU, Alfred",SUI,Men,Four-Man,Gold,,
1924,Chamonix,Bobsleigh,"SCHERRER, Eduard",SUI,Men,Four-Man,Gold,,
1924,Chamonix,Bobsleigh,"SCHLePPI, Alfred",SUI,Men,Four-Man,Gold,,
1924,Chamonix,Bobsleigh,"SCHLePPI, Heinrich",SUI,Men,Four-Man,Gold,,
1924,Chamonix,Skating,"GRAFSTRe_M, Gillis",SWE,Men,Individual,Gold,,
1924,Chamonix,Skating,"JEWTRAW, Charles",USA,Men,500M,Gold,,
1928,St.Moritz,Ice Hockey,"DELAHAY, Charles",CAN,Men,Ice Hockey,Gold,,
1928,St.Moritz,Ice Hockey,"FISHER, Franlyn Wood",CAN,Men,Ice Hockey,Gold,,
1928,St.Moritz,Ice Hockey,"HUDSON, Henry Louis",CAN,Men,Ice Hockey,Gold,,
1928,St.Moritz,Ice Hockey,"MUELLER, Norbert Edward",CAN,Men,Ice Hockey,Gold,,
1928,St.Moritz,Ice Hockey,"PLAXTON, Herbert Alfred",CAN,Men,Ice Hockey,Gold,,
1928,St.Moritz,Ice Hockey,"PLAXTON, Hugh John",CAN,Men,Ice Hockey,Gold,,
1928,St.Moritz,Ice Hockey,"PLAXTON, Rogers Hayward",CAN,Men,Ice Hockey,Gold,,
1928,St.Moritz,Ice Hockey,"PORTER, John Chester",CAN,Men,Ice Hockey,Gold,,
1928,St.Moritz,Ice Hockey,"SULLIVAN, Frank Gerald",CAN,Men,Ice Hockey,Gold,,
1928,St.Moritz,Ice Hockey,"SULLIVAN, Joseph Taylor",CAN,Men,Ice Hockey,Gold,,
1928,St.Moritz,Ice Hockey,"TAYLOR, Ross Croft",CAN,Men,Ice Hockey,Gold,,
1928,St.Moritz,Ice Hockey,"TROTTIER, David",CAN,Men,Ice Hockey,Gold,,
1928,St.Moritz,Skating,"THUNBERG, Clas",FIN,Men,1500M,Gold,,
1928,St.Moritz,Skating,"THUNBERG, Clas",FIN,Men,500M,Gold,,
1928,St.Moritz,Skating,"BRUNET, Andree",FRA,Women,Pairs,Gold,,
1928,St.Moritz,Skating,"BRUNET, Pierre",FRA,Men,Pairs,Gold,,
1928,St.Moritz,Skating,"HENIE, Sonja",NOR,Women,Individual,Gold,,
1928,St.Moritz,Skating,"BALLANGRUD, Ivar",NOR,Men,5000M,Gold,,
1928,St.Moritz,Skating,"EVENSEN, Bernt",NOR,Men,500M,Gold,,
1928,St.Moritz,Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,18KM,Gold,,
1928,St.Moritz,Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,Individual,Gold,,
1928,St.Moritz,Skiing,"ANDERSEN, Alf",NOR,Men,K90 Individual (70M),Gold,,
1928,St.Moritz,Skating,"GRAFSTRe_M, Gillis",SWE,Men,Individual,Gold,,
1928,St.Moritz,Skiing,"HEDLUND, Per Erik",SWE,Men,50KM,Gold,,
1928,St.Moritz,Bobsleigh,"FISKE, William",USA,Men,Five-Man,Gold,,
1928,St.Moritz,Bobsleigh,"GRAY, Clifford Barton",USA,Men,Five-Man,Gold,,
1928,St.Moritz,Bobsleigh,"MASON, Geoffrey Travers",USA,Men,Five-Man,Gold,,
1928,St.Moritz,Bobsleigh,"PARKE, Richard",USA,Men,Five-Man,Gold,,
1928,St.Moritz,Bobsleigh,"TUCKER, Nion",USA,Men,Five-Man,Gold,,
1928,St.Moritz,Bobsleigh,"HEATON, Jennison",USA,Men,Individual,Gold,,
1932,Lake Placid,Skating,"SCHeFER, Karl",AUT,Men,Individual,Gold,,
1932,Lake Placid,Ice Hockey,"COCKBURN, William George",CAN,Men,Ice Hockey,Gold,,
1932,Lake Placid,Ice Hockey,"CROWLEY, Clifford",CAN,Men,Ice Hockey,Gold,,
1932,Lake Placid,Ice Hockey,"DUNCANSON, Albert",CAN,Men,Ice Hockey,Gold,,
1932,Lake Placid,Ice Hockey,"GARBUTT, George",CAN,Men,Ice Hockey,Gold,,
1932,Lake Placid,Ice Hockey,"HINKEL, Roy",CAN,Men,Ice Hockey,Gold,,
1932,Lake Placid,Ice Hockey,"LINDQUIST, C. Victor",CAN,Men,Ice Hockey,Gold,,
1932,Lake Placid,Ice Hockey,"MALLOY, Norman",CAN,Men,Ice Hockey,Gold,,
1932,Lake Placid,Ice Hockey,"MONSON, Walter",CAN,Men,Ice Hockey,Gold,,
1932,Lake Placid,Ice Hockey,"MOORE, Kenneth",CAN,Men,Ice Hockey,Gold,,
1932,Lake Placid,Ice Hockey,"RIVERS, N.Romeo",CAN,Men,Ice Hockey,Gold,,
1932,Lake Placid,Ice Hockey,"SIMPSON, Harold",CAN,Men,Ice Hockey,Gold,,
1932,Lake Placid,Ice Hockey,"SUTHERLAND, Hugh",CAN,Men,Ice Hockey,Gold,,
1932,Lake Placid,Ice Hockey,"WAGNER, W. Stanley",CAN,Men,Ice Hockey,Gold,,
1932,Lake Placid,Ice Hockey,"WISE, J. Alliston",CAN,Men,Ice Hockey,Gold,,
1932,Lake Placid,Skiing,"SAARINEN, Veli",FIN,Men,50KM,Gold,,
1932,Lake Placid,Skating,"BRUNET, Andree",FRA,Women,Pairs,Gold,,
1932,Lake Placid,Skating,"BRUNET, Pierre",FRA,Men,Pairs,Gold,,
1932,Lake Placid,Skating,"HENIE, Sonja",NOR,Women,Individual,Gold,,
1932,Lake Placid,Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,Individual,Gold,,
1932,Lake Placid,Skiing,"RUUD, Birger",NOR,Men,K90 Individual (70M),Gold,,
1932,Lake Placid,Skiing,"UTTERSTRe_M, Sven",SWE,Men,18KM,Gold,,
1932,Lake Placid,Bobsleigh,"EAGAN, Edward",USA,Men,Four-Man,Gold,,
1932,Lake Placid,Bobsleigh,"FISKE, William",USA,Men,Four-Man,Gold,,
1932,Lake Placid,Bobsleigh,"GRAY, Clifford Barton",USA,Men,Four-Man,Gold,,
1932,Lake Placid,Bobsleigh,"O'BRIEN, Jay James",USA,Men,Four-Man,Gold,,
1932,Lake Placid,Bobsleigh,"STEVENS, J. Hubert",USA,Men,Four-Man,Gold,,
1932,Lake Placid,Bobsleigh,"ARTHUR, Adams",USA,Men,Two-Man,Gold,,
1932,Lake Placid,Bobsleigh,"STEVENS, Curtis",USA,Men,Two-Man,Gold,,
1932,Lake Placid,Skating,"JAFFEE, Irving",USA,Men,10000M,Gold,,
1932,Lake Placid,Skating,"SHEA, John A.",USA,Men,1500M,Gold,,
1932,Lake Placid,Skating,"JAFFEE, Irving",USA,Men,5000M,Gold,,
1932,Lake Placid,Skating,"SHEA, John A.",USA,Men,500M,Gold,,
1936,Garmisch Partenkirchen,Skating,"SCHeFER, Karl",AUT,Men,Individual,Gold,,
1936,Garmisch Partenkirchen,Skiing,"JALKANEN, Kalle",FIN,Men,4X10KM Relay,Gold,,
