Year,City,Sport,Athlete,Country,Gender,Event,Medal,,
1924,Chamonix,Bobsleigh,"MORTIAUX, Rene",BEL,Men,Four-Man,Bronze,,Data was provided by the IOC Research and Reference Service and published by The Guardian's Datablog.
1924,Chamonix,Bobsleigh,"MULDER, Charles",BEL,Men,Four-Man,Bronze,,
1924,Chamonix,Bobsleigh,"VAN DEN BROECK, Paul",BEL,Men,Four-Man,Bronze,,
1924,Chamonix,Bobsleigh,"VERSCHUEREN, Victor",BEL,Men,Four-Man,Bronze,,
1924,Chamonix,Bobsleigh,"WILLIEMS, Henri",BEL,Men,Four-Man,Bronze,,
1924,Chamonix,Skating,"THUNBERG, Clas",FIN,Men,500M,Bronze,,
1924,Chamonix,Skating,"SKUTNABB, Julius",FIN,Men,Combined (4 Events),Bronze,,
1924,Chamonix,Skiing,"NIKU, Tapani",FIN,Men,18KM,Bronze,,
1924,Chamonix,Biathlon,"BERTHET, G.",FRA,Men,Military Patrol,Bronze,,
1924,Chamonix,Biathlon,"MANDRILLON, C.",FRA,Men,Military Patrol,Bronze,,
1924,Chamonix,Biathlon,"MANDRILLON, Maurice",FRA,Men,Military Patrol,Bronze,,
1924,Chamonix,Biathlon,"VANDELLE, Andre",FRA,Men,Military Patrol,Bronze,,
1924,Chamonix,Curling,"ALDEERT, H.",FRA,Men,Curling,Bronze,,
1924,Chamonix,Curling,"ANDRE, Georges",FRA,Men,Curling,Bronze,,
1924,Chamonix,Curling,BENEDIC,FRA,Men,Curling,Bronze,,
1924,Chamonix,Curling,"CANIVET, P.",FRA,Men,Curling,Bronze,,
1924,Chamonix,Curling,"COURNOLLET, F.",FRA,Men,Curling,Bronze,,
1924,Chamonix,Curling,"PLANQUE, R.",FRA,Men,Curling,Bronze,,
1924,Chamonix,Skating,"BRUNET, Andree",FRA,Women,Pairs,Bronze,,
1924,Chamonix,Skating,"BRUNET, Pierre",FRA,Men,Pairs,Bronze,,
1924,Chamonix,Ice Hockey,"ANDERSON, William",GBR,Men,Ice Hockey,Bronze,,
1924,Chamonix,Ice Hockey,"BOULDEN, C.-B.",GBR,Men,Ice Hockey,Bronze,,
1924,Chamonix,Ice Hockey,"CARR-HARRIS, Louis Howland",GBR,Men,Ice Hockey,Bronze,,
1924,Chamonix,Ice Hockey,"CARRUTHERS, Colin Gordon",GBR,Men,Ice Hockey,Bronze,,
1924,Chamonix,Ice Hockey,"CARRUTHERS, Eric Dudley",GBR,Men,Ice Hockey,Bronze,,
1924,Chamonix,Ice Hockey,"CLARKSON, Guy E.",GBR,Men,Ice Hockey,Bronze,,
1924,Chamonix,Ice Hockey,"CUTHBERT, Ross George",GBR,Men,Ice Hockey,Bronze,,
1924,Chamonix,Ice Hockey,"HOLMES, George",GBR,Men,Ice Hockey,Bronze,,
1924,Chamonix,Ice Hockey,"JUKES, Hamilton",GBR,Men,Ice Hockey,Bronze,,
1924,Chamonix,Ice Hockey,"PATTON, B.-N.",GBR,Men,Ice Hockey,Bronze,,
1924,Chamonix,Ice Hockey,"PITBLADO, Edward",GBR,Men,Ice Hockey,Bronze,,
1924,Chamonix,Ice Hockey,"SEXTON, Blane Nathaniel",GBR,Men,Ice Hockey,Bronze,,
1924,Chamonix,Skating,"MUCKELT, Ethel",GBR,Women,Individual,Bronze,,
1924,Chamonix,Skating,"LARSEN, Roald",NOR,Men,10000M,Bronze,,
1924,Chamonix,Skating,"MOEN, Sigurd",NOR,Men,1500M,Bronze,,
1924,Chamonix,Skating,"LARSEN, Roald",NOR,Men,5000M,Bronze,,
1924,Chamonix,Skating,"LARSEN, Roald",NOR,Men,500M,Bronze,,
1924,Chamonix,Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,50KM,Bronze,,
1924,Chamonix,Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,Individual,Bronze,,
1924,Chamonix,Skating,"GAUTSCHI, Georges",SUI,Men,Individual,Bronze,,
1924,Chamonix,Skiing,"HAUGEN, Anders",USA,Men,K90 Individual (70M),Bronze,,
1928,St.Moritz,Skating,"BRUNNER, Melitta",AUT,Women,Pairs,Bronze,,
1928,St.Moritz,Skating,"WREDE, Ludwig",AUT,Men,Pairs,Bronze,,
1928,St.Moritz,Skating,"VAN ZEEBROECK, Robert",BEL,Men,Individual,Bronze,,
1928,St.Moritz,Skating,"FRIMAN, Jaakko",FIN,Men,500M,Bronze,,
1928,St.Moritz,Bobsleigh,"NORTHESK, David, Earl of",GBR,Men,Individual,Bronze,,
1928,St.Moritz,Bobsleigh,"HESS, Hans",GER,Men,Five-Man,Bronze,,
1928,St.Moritz,Bobsleigh,"HUBER, Sebastian",GER,Men,Five-Man,Bronze,,
1928,St.Moritz,Bobsleigh,"KILIAN, Hanns",GER,Men,Five-Man,Bronze,,
1928,St.Moritz,Bobsleigh,"KREMPL, Valentin",GER,Men,Five-Man,Bronze,,
1928,St.Moritz,Bobsleigh,"NeGLE, Hanns",GER,Men,Five-Man,Bronze,,
1928,St.Moritz,Skating,"BALLANGRUD, Ivar",NOR,Men,1500M,Bronze,,
1928,St.Moritz,Skating,"EVENSEN, Bernt",NOR,Men,5000M,Bronze,,
1928,St.Moritz,Skating,"LARSEN, Roald",NOR,Men,500M,Bronze,,
1928,St.Moritz,Skiing,"e_DEGAARD, Reidar",NOR,Men,18KM,Bronze,,
1928,St.Moritz,Skiing,"SNERSRUD, John",NOR,Men,Individual,Bronze,,
1928,St.Moritz,Ice Hockey,"ANDREOSSI, Giannin",SUI,Men,Ice Hockey,Bronze,,
1928,St.Moritz,Ice Hockey,"ANDREOSSI, Mezzi",SUI,Men,Ice Hockey,Bronze,,
1928,St.Moritz,Ice Hockey,"BREITER, Robert",SUI,Men,Ice Hockey,Bronze,,
1928,St.Moritz,Ice Hockey,"DUFOUR, Louis",SUI,Men,Ice Hockey,Bronze,,
1928,St.Moritz,Ice Hockey,"FASEL, Charles",SUI,Men,Ice Hockey,Bronze,,
1928,St.Moritz,Ice Hockey,"GEROMINI, Albert",SUI,Men,Ice Hockey,Bronze,,
1928,St.Moritz,Ice Hockey,"KRAATZ, Fritz",SUI,Men,Ice Hockey,Bronze,,
1928,St.Moritz,Ice Hockey,"MARTIGNONI, Arnold",SUI,Men,Ice Hockey,Bronze,,
1928,St.Moritz,Ice Hockey,"MENG, Heini",SUI,Men,Ice Hockey,Bronze,,
1928,St.Moritz,Ice Hockey,"MOROSANI, Anton",SUI,Men,Ice Hockey,Bronze,,
1928,St.Moritz,Ice Hockey,"ReeEDI, Luzius",SUI,Men,Ice Hockey,Bronze,,
1928,St.Moritz,Ice Hockey,"TORRIANI, Richard",SUI,Men,Ice Hockey,Bronze,,
1928,St.Moritz,Skiing,"ANDERSSON, Volger",SWE,Men,50KM,Bronze,,
1928,St.Moritz,Skiing,"BURKERT, Rudolf",TCH,Men,K90 Individual (70M),Bronze,,
1928,St.Moritz,Skating,"LOUGHRAN, Beatrix",USA,Women,Individual,Bronze,,
1928,St.Moritz,Skating,"FARRELL, John O",USA,Men,500M,Bronze,,
1932,Lake Placid,Skating,"WILSON, Montgomery",CAN,Men,Individual,Bronze,,
1932,Lake Placid,Skating,"STACK, Frank",CAN,Men,10000M,Bronze,,
1932,Lake Placid,Skating,"LOGAN, William F.",CAN,Men,1500M,Bronze,,
1932,Lake Placid,Skating,"LOGAN, William F.",CAN,Men,5000M,Bronze,,
1932,Lake Placid,Skating,"HURD, Alexander",CAN,Men,500M,Bronze,,
1932,Lake Placid,Skiing,"SAARINEN, Veli",FIN,Men,18KM,Bronze,,
1932,Lake Placid,Bobsleigh,"BREHME, Albert",GER,Men,Four-Man,Bronze,,
1932,Lake Placid,Bobsleigh,"GRAU, Fritz",GER,Men,Four-Man,Bronze,,
1932,Lake Placid,Bobsleigh,"HOPMANN, Helmut",GER,Men,Four-Man,Bronze,,
1932,Lake Placid,Bobsleigh,"HUBER, Sebastian",GER,Men,Four-Man,Bronze,,
1932,Lake Placid,Bobsleigh,"HUTH, Werner",GER,Men,Four-Man,Bronze,,
1932,Lake Placid,Bobsleigh,"KILIAN, Hanns",GER,Men,Four-Man,Bronze,,
1932,Lake Placid,Bobsleigh,"KROTKI, Rudolf",GER,Men,Four-Man,Bronze,,
1932,Lake Placid,Bobsleigh,"LUDWIG, Max",GER,Men,Four-Man,Bronze,,
1932,Lake Placid,Bobsleigh,"MEHLHHORN, Hans",GER,Men,Four-Man,Bronze,,
1932,Lake Placid,Bobsleigh,"ROSSNER, Heinrich",GER,Men,Four-Man,Bronze,,
1932,Lake Placid,Bobsleigh,"ZAHN, Werner",GER,Men,Four-Man,Bronze,,
1932,Lake Placid,Ice Hockey,"BALL, Rudolf",GER,Men,Ice Hockey,Bronze,,
1932,Lake Placid,Ice Hockey,"HEINRICH, Alfred",GER,Men,Ice Hockey,Bronze,,
1932,Lake Placid,Ice Hockey,"HERKER, Erich",GER,Men,Ice Hockey,Bronze,,
1932,Lake Placid,Ice Hockey,"JeNECKE, Gustav",GER,Men,Ice Hockey,Bronze,,
1932,Lake Placid,Ice Hockey,"KORFF, Werner",GER,Men,Ice Hockey,Bronze,,
1932,Lake Placid,Ice Hockey,"LEINWEBER, Walter",GER,Men,Ice Hockey,Bronze,,
1932,Lake Placid,Ice Hockey,"Re_MER, Erich",GER,Men,Ice Hockey,Bronze,,
1932,Lake Placid,Ice Hockey,"SCHRe_TTLE, Martin",GER,Men,Ice Hockey,Bronze,,
1932,Lake Placid,Ice Hockey,"SLEVOGT, Marquardt",GER,Men,Ice Hockey,Bronze,,
1932,Lake Placid,Ice Hockey,"STROBL, Georg",GER,Men,Ice Hockey,Bronze,,
1932,Lake Placid,Skating,"ROTTER, Emilia",HUN,Women,Pairs,Bronze,,
1932,Lake Placid,Skating,"SZOLLAS, Laszlo",HUN,Men,Pairs,Bronze,,
1932,Lake Placid,Skiing,"RUSTADSTUEN, Arne",NOR,Men,50KM,Bronze,,
1932,Lake Placid,Skiing,"VINJARENGEN, Hans",NOR,Men,Individual,Bronze,,
1932,Lake Placid,Skiing,"WALBERG, Kaare",NOR,Men,K90 Individual (70M),Bronze,,
1932,Lake Placid,Bobsleigh,"BRYANT, Precy D.",USA,Men,Two-Man,Bronze,,
1932,Lake Placid,Bobsleigh,"HEATON, John",USA,Men,Two-Man,Bronze,,
1932,Lake Placid,Bobsleigh,"HOMBURGER, Henry A.",USA,Men,Two-Man,Bronze,,
